# new cases, moving ave @ 3
2.0,nan
0.0,nan
3.0,1.7
3.0,2.0
0.0,2.0
0.0,1.0
2.0,0.7
0.0,0.7
2.0,1.3
1.0,1.0
2.0,1.7
0.0,1.0
2.0,1.3
4.0,2.0
3.0,3.0
1.0,2.7
1.0,1.7
3.0,1.7
9.0,4.3
11.0,7.7
1.0,7.0
3.0,5.0
3.0,2.3
0.0,2.0
1.0,1.3
3.0,1.3
2.0,2.0
1.0,2.0
5.0,2.7
0.0,2.0
1.0,2.0
5.0,2.0
5.0,3.7
5.0,5.0
7.0,5.7
1.0,4.3
2.0,3.3
1.0,1.3
1.0,1.3
4.0,2.0
0.0,1.7
5.0,3.0
0.0,1.7
2.0,2.3
1.0,1.0
6.0,3.0
1.0,2.7
5.0,4.0
6.0,4.0
3.0,4.7
5.0,4.7
6.0,4.7
5.0,5.3
10.0,7.0
7.0,7.3
19.0,12.0
27.0,17.7
48.0,31.3
17.0,30.7
44.0,36.3
34.0,31.7
31.0,36.3
25.0,30.0
45.0,33.7
42.0,37.3
32.0,39.7
51.0,41.7
46.0,43.0
57.0,51.3
57.0,53.3
47.0,53.7
47.0,50.3
22.0,38.7
29.0,32.7
32.0,27.7
21.0,27.3
25.0,26.0
13.0,19.7
16.0,18.0
11.0,13.3
4.0,10.3
5.0,6.7
3.0,4.0
4.0,4.0
1.0,2.7
4.0,3.0
2.0,2.3
2.0,2.7
0.0,1.3
4.0,2.0
4.0,2.7
2.0,3.3
0.0,2.0
2.0,1.3
0.0,0.7
0.0,0.7
0.0,0.0
0.0,0.0
0.0,0.0
2.0,0.7
0.0,0.7
0.0,0.7
1.0,0.3
0.0,0.3
0.0,0.3
4.0,1.3
0.0,1.3
0.0,1.3
3.0,1.0
0.0,1.0
0.0,1.0
3.0,1.0
1.0,1.3
1.0,1.7
0.0,0.7
3.0,1.3
0.0,1.0
0.0,1.0
0.0,0.0
8.0,2.7
2.0,3.3
0.0,3.3
0.0,0.7
0.0,0.0
0.0,0.0
1.0,0.3
0.0,0.3
13.0,4.7
3.0,5.3
2.0,6.0
3.0,2.7
6.0,3.7
0.0,3.0
6.0,4.0
3.0,3.0
3.0,4.0
1.0,2.3
1.0,1.7
0.0,0.7
0.0,0.3
0.0,0.0
1.0,0.3
1.0,0.7
0.0,0.7
3.0,1.3
0.0,1.0
8.0,3.7
4.0,4.0
3.0,5.0
1.0,2.7
3.0,2.3
30.0,11.3
16.0,16.3
2.0,16.0
14.0,10.7
3.0,6.3
1.0,6.0
2.0,2.0
4.0,2.3
2.0,2.7
28.0,11.3
9.0,13.0
5.0,14.0
11.0,8.3
10.0,8.7
17.0,12.7
14.0,13.7
24.0,18.3
42.0,26.7
38.0,34.7
28.0,36.0
38.0,34.7
52.0,39.3
48.0,46.0
19.0,39.7
67.0,44.7
58.0,48.0
64.0,63.0
108.0,76.7
73.0,81.7
60.0,80.3
113.0,82.0
118.0,97.0
123.0,118.0
133.0,124.7
128.0,128.0
145.0,135.3
106.0,126.3
118.0,123.0
149.0,124.3
121.0,129.3
124.0,131.3
115.0,120.0
78.0,105.7
80.0,91.0
85.0,81.0
95.0,86.7
89.0,89.7
69.0,84.3
72.0,76.7
69.0,70.0
33.0,58.0
62.0,54.7
69.0,54.7
48.0,59.7
46.0,54.3
74.0,56.0
44.0,54.7
36.0,51.3
26.0,35.3
18.0,26.7
27.0,23.7
26.0,23.7
25.0,26.0
9.0,20.0
19.0,17.7
24.0,17.3
21.0,21.3
13.0,19.3
18.0,17.3
15.0,15.3
9.0,14.0
12.0,12.0
8.0,9.7
8.0,9.3
12.0,9.3
7.0,9.0
21.0,13.3
11.0,13.0
6.0,12.7
6.0,7.7
12.0,8.0
12.0,10.0
13.0,12.3
19.0,14.7
14.0,15.3
4.0,12.3
9.0,9.0
9.0,7.3
3.0,7.0
13.0,8.3
23.0,13.0
6.0,14.0
8.0,12.3
3.0,5.7
7.0,6.0
2.0,4.0
1.0,3.3
6.0,3.0
10.0,5.7
4.0,6.7
8.0,7.3
10.0,7.3
7.0,8.3
4.0,7.0
5.0,5.3
11.0,6.7
8.0,8.0
11.0,10.0
18.0,12.3
8.0,12.3
6.0,10.7
7.0,7.0
11.0,8.0
8.0,8.7
0.0,6.3
12.0,6.7
7.0,6.3
17.0,12.0
4.0,9.3
15.0,12.0
5.0,8.0
8.0,9.3
11.0,8.0
4.0,7.7
5.0,6.7
6.0,5.0
8.0,6.3
5.0,6.3
2.0,5.0
3.0,3.3
7.0,4.0
3.0,4.3
7.0,5.7
6.0,5.3
9.0,7.3
3.0,6.0
7.0,6.3
6.0,5.3
3.0,5.3
10.0,6.3
6.0,6.3
9.0,8.3
18.0,11.0
23.0,16.7
6.0,15.7
8.0,12.3
14.0,9.3
8.0,10.0
4.0,8.7
9.0,7.0
12.0,8.3
26.0,15.7
43.0,27.0
68.0,45.7
73.0,61.3
80.0,73.7
85.0,79.3
81.0,82.0
92.0,86.0
84.0,85.7
115.0,97.0
76.0,91.7
82.0,91.0
103.0,87.0
90.0,91.7
112.0,101.7
101.0,101.0
95.0,102.7
78.0,91.3
100.0,91.0
104.0,94.0
112.0,105.3
86.0,100.7
69.0,89.0
95.0,83.3
82.0,82.0
98.0,91.7
82.0,87.3
96.0,92.0
70.0,82.7
109.0,91.7
74.0,84.3
85.0,89.3
63.0,74.0
53.0,67.0
71.0,62.3
57.0,60.3
59.0,62.3
70.0,62.0
61.0,63.3
53.0,61.3
54.0,56.0
68.0,58.3
42.0,54.7
35.0,48.3
41.0,39.3
53.0,43.0
32.0,42.0
25.0,36.7
33.0,30.0
45.0,34.3
59.0,45.7
31.0,45.0
41.0,43.7
60.0,44.0
42.0,47.7
29.0,43.7
38.0,36.3
50.0,39.0
55.0,47.7
107.0,70.7
56.0,72.7
77.0,80.0
70.0,67.7
61.0,69.3
81.0,70.7
76.0,72.7
73.0,76.7
64.0,71.0
60.0,65.7
39.0,54.3
50.0,49.7
28.0,39.0
53.0,43.7
34.0,38.3
25.0,37.3
19.0,26.0
22.0,22.0
37.0,26.0
19.0,26.0
27.0,27.7
32.0,26.0
26.0,28.3
17.0,25.0
21.0,21.3
24.0,20.7
12.0,19.0
12.0,16.0
9.0,11.0
8.0,9.7
16.0,11.0
8.0,10.7
13.0,12.3
15.0,12.0
20.0,16.0
16.0,17.0
12.0,16.0
17.0,15.0
13.0,14.0
25.0,18.3
32.0,23.3
22.0,26.3
14.0,22.7
13.0,16.3
14.0,13.7
9.0,12.0
11.0,11.3
8.0,9.3
16.0,11.7
9.0,11.0
21.0,15.3
8.0,12.7
22.0,17.0
60.0,30.0
47.0,43.0
24.0,43.7
30.0,33.7
18.0,24.0
11.0,19.7
10.0,13.0
13.0,11.3
8.0,10.3
8.0,9.7
18.0,11.3
12.0,12.7
10.0,13.3
9.0,10.3
11.0,10.0
6.0,8.7
1.0,6.0
8.0,5.0
7.0,5.3
6.0,7.0
13.0,8.7
19.0,12.7
2.0,11.3
7.0,9.3
16.0,8.3
7.0,10.0
8.0,10.3
10.0,8.3
14.0,10.7
5.0,9.7
13.0,10.7
13.0,10.3
13.0,13.0
5.0,10.3
6.0,8.0
17.0,9.3
18.0,13.7
30.0,21.7
12.0,20.0
8.0,16.7
1.0,7.0
14.0,7.7
9.0,8.0
3.0,8.7
6.0,6.0
4.0,4.3
8.0,6.0
7.0,6.3
15.0,10.0
4.0,8.7
8.0,9.0
2.0,4.7
2.0,4.0
4.0,2.7
6.0,4.0
2.0,4.0
3.0,3.7
5.0,3.3
1.0,3.0
4.0,3.3
1.0,2.0
2.0,2.3
3.0,2.0
1.0,2.0
3.0,2.3
3.0,2.3
1.0,2.3
1.0,1.7
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.3
1.0,1.3
2.0,1.7
1.0,1.3
0.0,1.0
0.0,0.3
1.0,0.3
0.0,0.3
4.0,1.7
7.0,3.7
0.0,3.7
1.0,2.7
1.0,0.7
1.0,1.0
7.0,3.0
7.0,5.0
3.0,5.7
4.0,4.7
2.0,3.0
0.0,2.0
3.0,1.7
0.0,1.0
1.0,1.3
2.0,1.0
1.0,1.3
0.0,1.0
3.0,1.3
1.0,1.3
1.0,1.7
3.0,1.7
7.0,3.7
2.0,4.0
7.0,5.3
4.0,4.3
2.0,4.3
6.0,4.0
3.0,3.7
1.0,3.3
2.0,2.0
4.0,2.3
11.0,5.7
1.0,5.3
3.0,5.0
1.0,1.7
1.0,1.7
1.0,1.0
3.0,1.7
1.0,1.7
1.0,1.7
1.0,1.0
0.0,0.7
1.0,0.7
3.0,1.3
0.0,1.3
1.0,1.3
0.0,0.3
2.0,1.0
0.0,0.7
7.0,3.0
5.0,4.0
1.0,4.3
2.0,2.7
2.0,1.7
3.0,2.3
0.0,1.7
1.0,1.3
1.0,0.7
2.0,1.3
2.0,1.7
0.0,1.3
3.0,1.7
3.0,2.0
4.0,3.3
2.0,3.0
6.0,4.0
2.0,3.3
7.0,5.0
2.0,3.7
2.0,3.7
4.0,2.7
1.0,2.3
5.0,3.3
5.0,3.7
2.0,4.0
1.0,2.7
3.0,2.0
3.0,2.3
3.0,3.0
5.0,3.7
2.0,3.3
3.0,3.3
5.0,3.3
5.0,4.3
7.0,5.7
5.0,5.7
3.0,5.0
17.0,8.3
6.0,8.7
7.0,10.0
3.0,5.3
2.0,4.0
1.0,2.0
0.0,1.0
0.5,0.5
1.0,0.5
8.0,3.2
2.0,3.7
6.0,5.3
2.0,3.3
2.0,3.3
5.0,3.0
4.0,3.7
3.0,4.0
1.0,2.7
2.0,2.0
1.0,1.3
0.0,1.0
3.0,1.3
5.0,2.7
3.0,3.7
5.0,4.3
1.0,3.0
1.0,2.3
2.0,1.3
7.0,3.3
9.0,6.0
8.0,8.0
3.0,6.7
13.0,8.0
5.0,7.0
3.0,7.0
4.0,4.0
5.0,4.0
0.0,3.0
4.0,3.0
7.0,3.7
6.0,5.7
8.0,7.0
2.0,5.3
16.5,8.8
31.0,16.5
7.0,18.2
4.0,14.0
3.0,4.7
1.0,2.7
9.0,4.3
6.0,5.3
3.0,6.0
5.0,4.7
2.0,3.3
4.0,3.7
6.0,4.0
2.0,4.0
6.0,4.7
4.0,4.0
4.0,4.7
3.0,3.7
5.0,4.0
2.0,3.3
5.0,4.0
3.0,3.3
1.0,3.0
1.0,1.7
2.0,1.3
3.0,2.0
7.0,4.0
1.0,3.7
7.0,5.0
1.0,3.0
0.0,2.7
1.0,0.7
5.0,2.0
3.0,3.0
1.0,3.0
2.0,2.0
1.0,1.3
6.0,3.0
1.0,2.7
3.0,3.3
4.0,2.7
1.0,2.7
3.0,2.7
2.0,2.0
3.0,2.7
6.0,3.7
1.0,3.3
6.0,4.3
4.0,3.7
3.0,4.3
3.0,3.3
3.0,3.0
6.0,4.0
3.0,4.0
6.0,5.0
3.0,4.0
4.0,4.3
9.0,5.3
5.0,6.0
5.0,6.3
0.0,3.3
7.0,4.0
4.0,3.7
1.0,4.0
5.0,3.3
2.0,2.7
5.0,4.0
1.0,2.7
10.0,5.3
7.0,6.0
5.0,7.3
8.0,6.7
7.0,6.7
8.0,7.7
7.0,7.3
2.0,5.7
5.0,4.7
25.0,10.7
9.0,13.0
9.0,14.3
6.0,8.0
14.0,9.7
12.0,10.7
19.0,15.0
18.0,16.3
26.0,21.0
29.0,24.3
39.0,31.3
38.0,35.3
33.0,36.7
33.0,34.7
37.0,34.3
33.0,34.3
24.0,31.3
21.0,26.0
22.0,22.3
14.0,19.0
9.0,15.0
5.0,9.3
11.0,8.3
7.0,7.7
18.0,12.0
16.0,13.7
14.0,16.0
24.0,18.0
26.0,21.3
140.0,63.3
109.0,91.7
124.0,124.3
107.0,113.3
164.0,131.7
115.0,128.7
119.0,132.7
81.0,105.0
92.0,97.3
129.0,100.7
116.0,112.3
142.0,129.0
131.0,129.7
351.0,208.0
342.0,274.7
614.0,435.7
625.0,527.0
1161.0,800.0
986.0,924.0
1325.0,1157.3
1514.0,1275.0
1347.0,1395.3
2071.0,1644.0
1619.0,1679.0
4285.0,2658.3
6116.0,4006.7
3629.0,4676.7
6063.0,5269.3
6067.0,5253.0
7533.0,6554.3
6211.0,6603.7
8674.0,7472.7
8798.0,7894.3
10010.0,9160.7
74534.0,31114.0
50976.0,45173.3
56178.0,60562.7
55658.0,54270.7
76341.0,62725.7
76991.0,69663.3
72682.0,75338.0
67583.0,72418.7
39801.0,60022.0
36395.0,47926.3
38751.0,38315.7
30461.0,35202.3
31402.0,33538.0
29381.0,30414.7
27647.0,29476.7
32430.0,29819.3
26908.0,28995.0
27765.0,29034.3
29272.0,27981.7
21650.0,26229.0
20082.0,23668.0
16597.0,19443.0
14149.0,16942.7
14068.0,14938.0
14152.0,14123.0
12240.0,13486.7
13074.0,13155.3
10405.0,11906.3
8841.0,10773.3
8037.0,9094.3
7685.0,8187.7
7596.0,7772.7
6981.0,7420.7
6646.0,7074.3
5823.0,6483.3
4475.0,5648.0
3709.0,4669.0
3138.0,3774.0
3254.0,3367.0
2777.0,3056.3
2644.0,2891.7
2492.0,2637.7
2535.0,2557.0
1921.0,2316.0
1407.0,1954.3
1433.0,1587.0
1272.0,1370.7
1043.0,1249.3
946.0,1087.0
794.0,927.7
747.0,829.0
613.0,718.0
600.0,653.3
668.0,627.0
628.0,632.0
574.0,623.3
523.0,575.0
429.0,508.7
431.0,461.0
347.0,402.3
430.0,402.7
413.0,396.7
366.0,403.0
363.0,380.7
300.0,343.0
283.0,315.3
290.0,291.0
313.0,295.3
321.0,308.0
324.0,319.3
278.0,307.7
266.0,289.3
233.0,259.0
273.0,257.3
280.0,262.0
294.0,282.3
298.0,290.7
284.0,292.0
259.0,280.3
234.0,259.0
328.0,273.7
329.0,297.0
291.0,316.0
243.0,287.7
228.0,254.0
237.0,236.0
190.0,218.3
250.0,225.7
251.0,230.3
251.0,250.7
250.0,250.7
270.0,257.0
237.0,252.3
275.0,260.7
329.0,280.3
505.0,369.7
489.0,441.0
499.0,497.7
446.0,478.0
515.0,486.7
543.0,501.3
239.0,432.3
293.0,358.3
614.0,382.0
668.0,525.0
851.0,711.0
814.0,777.7
737.0,800.7
849.0,800.0
1047.0,877.7
1179.0,1025.0
1145.0,1123.7
1276.0,1200.0
1276.0,1232.3
1327.0,1293.0
1198.0,1267.0
1447.0,1324.0
1650.0,1431.7
1860.0,1652.3
1794.0,1768.0
1917.0,1857.0
1873.0,1861.3
1685.0,1825.0
2004.0,1854.0
2358.0,2015.7
2318.0,2226.7
2227.0,2301.0
1828.0,2124.3
1841.0,1965.3
2268.0,1979.0
2815.0,2308.0
3028.0,2703.7
2945.0,2929.3
2995.0,2989.3
2992.0,2977.3
2863.0,2950.0
2769.0,2874.7
3154.0,2928.7
3674.0,3199.0
3574.0,3467.3
3762.0,3670.0
3486.0,3607.3
3436.0,3561.3
3256.0,3392.7
3805.0,3499.0
4375.0,3812.0
4270.0,4150.0
4265.0,4303.3
4250.0,4261.7
4130.0,4215.0
4276.0,4218.7
4508.0,4304.7
4886.0,4556.7
4884.0,4759.3
4683.0,4817.7
4634.0,4733.7
4254.0,4523.7
4123.0,4337.0
4547.0,4308.0
5020.0,4563.3
4428.0,4665.0
4602.0,4683.3
4274.0,4434.7
4040.0,4305.3
4045.0,4119.7
4593.0,4226.0
4376.0,4338.0
4439.0,4469.3
5308.0,4707.7
4979.0,4908.7
4896.0,5061.0
5162.0,5012.3
5757.0,5271.7
6054.0,5657.7
6445.0,6085.3
6389.0,6296.0
6513.0,6449.0
6617.0,6506.3
6654.0,6594.7
7884.0,7051.7
8579.0,7705.7
7835.0,8099.3
8457.0,8290.3
9708.0,8666.7
8488.0,8884.3
8848.0,9014.7
9495.0,8943.7
10586.0,9643.0
9901.0,9994.0
10426.0,10304.3
10683.0,10336.7
