Name,District,No_of_Courts,Phone
Ho Man Tin Sports Centre,Kowloon City,2,2762-7837
Junction Road Park,Kowloon City,6,2336-4638
Ma Tau Wai Service Reservoir Playground,Kowloon City,4,2713-7252/2711-1532
Tin Kwong Road Tennis Court,Kowloon City,4,2711-1532
North District Sports Ground,North,6,2679-4913
Po Tsui Park,Sai Kung,6,2703-7231
Sai Kung Tennis Courts,Sai Kung,2,2792-6459
Hin Tin Playground,Sha Tin,4,2692-0460
Siu Lek Yuen Road Playground,Sha Tin,4,2637-2743
Tsang Tai Uk Recreation Ground,Sha Tin,6,2698-2648
Yuen Wo Playground,Sha Tin,6,2605-3622
Lai Chi Kok Park (Stage II),Sham Shui Po,5,2307-0429
Shek Kip Mei Park (Stage II),Sham Shui Po,8,2776-9828
Tung Chau Street Park,Sham Shui Po,5,2728-4888
Choi Hung Road Playground,Wong Tai Sin,5,2326-2517
Ma Chai Hang Recreation Ground,Wong Tai Sin,4,2321-0126
Morse Park (Park No.4),Wong Tai Sin,6,2338-3047
Shek Ku Lung Road Playground,Wong Tai Sin,4,2383-9024
Kwai Shing Playground,Kwai Tsing,3 nos.,2619-9200
Mei King Playground,Kwai Tsing,2,2619-9200
North Kwai Chung Tang Shiu Kin Sports Centre,Kwai Tsing,1 no.,2426-3269
Shek Lei Street Tennis Courts,Kwai Tsing,2 nos.,2619-9200
Tsing Yi Park,Kwai Tsing,7 nos.,2435-0533
Bowen Road Tennis Court,Wan Chai,4,2528-2983
Causeway Bay Sports Ground,Wan Chai,6,2890-5127
Hong Kong Tennis Centre,Wan Chai,"17 (Tennis Courts No. 8, 10 & 11 at Hong Kong Tennis Centre are for playing singles.  The rest of Tennis Courts are for playing singles and doubles.)",2574-9122
Hiu Ming Street Playground,Kwun Tong,3,2727-3278
Hong Ning Road Park,Kwun Tong,4,2341-2602
Jordan Valley Playground,Kwun Tong,4,2758-3465
Ping Shek Playground,Kwun Tong,4,2324-4302
Shun Lee Tsuen Park,Kwun Tong,"No. 33, Shun Lee Tsuen Road, Kwun Tong, Kowloon",2951-4136
Sin Fat Road Tennis Courts,Kwun Tong,4,2346-2261
Cheung Chau Park,Islands,3,2986-8604
Aberdeen Tennis and Squash Centre,Southern,8,2553-6130
Tai Po Sports Ground â€“ Squash and Tennis Centre,Tai Po,6,2666-0044/2666-0344
Wan Tau Kok Playground,Tai Po,3,2650-1000
Shing Mun Valley Park,Tsuen Wan,2,2413-9665
Tsuen Wan Park,Tsuen Wan,4,2408-9592
Tsuen Wan Riviera Park,Tsuen Wan,4,2406-9145
Sha Tsui Road Playground,Tsuen Wan,3,2490-7274/2212-9702
Tsuen King Circuit Playground,Tsuen Wan,4,2416-1969
Wu Shan Tennis Courts,Tuen Mun,3 Tennis Courts (with Floodlights),2459-1062
Tsing Sin Playground,Tuen Mun,4 Tennis Courts (with Floodlights),2451-1319
Tuen Mun Tang Shiu Kin Sports Ground (Tennis Court),Tuen Mun,6 Tennis Courts (with Floodlights),2454-5049
King's Park Recreation Ground,Yau Tsim Mong,6,2385-8985
Cherry Street Park,Yau Tsim Mong,4,2625-4584
Sai Ching Street Tennis Courts ,Yuen Long,6,2478-3345
Tin Shui Wai Park,Yuen Long,2,2617-4170
Chai Wan Park,Eastern,6,2898-7560
Quarry Bay Park,Eastern,8,2513-8499
Sai Wan Ho Playground,Eastern,4,2535-9001
Victoria Park Tennis Court,Wan Chai,13,2570-6186
Victoria Park Centre Court,Wan Chai,1,2570-6186
Ma On Shan Recreation Ground,Sha Tin,2,2631-4106
Wo Hing Sports Centre,North,1,2669-7057
